,_startDate,_endDate,_value
95973,2020-06-10 10:36:12 +0200,2020-06-10 10:36:26 +0200,HKCategoryValueSleepAnalysisInBed
95974,2020-06-10 10:38:15 +0200,2020-06-10 10:45:24 +0200,HKCategoryValueSleepAnalysisInBed
95975,2020-06-11 01:30:00 +0200,2020-06-11 10:03:49 +0200,HKCategoryValueSleepAnalysisInBed
95976,2020-06-11 10:03:51 +0200,2020-06-11 10:04:04 +0200,HKCategoryValueSleepAnalysisInBed
95977,2020-06-11 10:32:00 +0200,2020-06-11 10:32:08 +0200,HKCategoryValueSleepAnalysisInBed
95978,2020-06-12 10:15:05 +0200,2020-06-12 10:45:02 +0200,HKCategoryValueSleepAnalysisInBed
95979,2020-06-13 03:20:50 +0200,2020-06-13 10:46:59 +0200,HKCategoryValueSleepAnalysisInBed
95980,2020-06-14 01:59:53 +0200,2020-06-14 09:59:21 +0200,HKCategoryValueSleepAnalysisInBed
95981,2020-06-15 00:15:18 +0200,2020-06-15 09:30:00 +0200,HKCategoryValueSleepAnalysisInBed
95982,2020-06-16 00:00:00 +0200,2020-06-16 08:44:41 +0200,HKCategoryValueSleepAnalysisInBed
95983,2020-06-17 04:10:00 +0200,2020-06-17 11:05:42 +0200,HKCategoryValueSleepAnalysisInBed
95984,2020-06-18 00:00:00 +0200,2020-06-18 09:00:01 +0200,HKCategoryValueSleepAnalysisInBed
95985,2020-06-19 00:33:38 +0200,2020-06-19 09:00:01 +0200,HKCategoryValueSleepAnalysisInBed
95986,2020-06-20 02:24:14 +0200,2020-06-20 10:00:01 +0200,HKCategoryValueSleepAnalysisInBed
95987,2020-06-22 00:00:00 +0200,2020-06-22 09:02:11 +0200,HKCategoryValueSleepAnalysisInBed
95988,2020-06-22 09:02:12 +0200,2020-06-22 09:02:13 +0200,HKCategoryValueSleepAnalysisInBed
95989,2020-06-23 04:07:37 +0200,2020-06-23 04:12:26 +0200,HKCategoryValueSleepAnalysisInBed
95990,2020-06-23 04:13:47 +0200,2020-06-23 09:08:45 +0200,HKCategoryValueSleepAnalysisInBed
95991,2020-06-24 00:00:00 +0200,2020-06-24 01:56:50 +0200,HKCategoryValueSleepAnalysisInBed
95992,2020-06-24 01:57:30 +0200,2020-06-24 02:00:41 +0200,HKCategoryValueSleepAnalysisInBed
95993,2020-06-24 02:00:48 +0200,2020-06-24 09:14:30 +0200,HKCategoryValueSleepAnalysisInBed
95994,2020-06-25 04:08:47 +0200,2020-06-25 08:31:26 +0200,HKCategoryValueSleepAnalysisInBed
95995,2020-06-26 07:51:12 +0200,2020-06-26 08:30:59 +0200,HKCategoryValueSleepAnalysisInBed
95996,2020-06-29 01:30:33 +0200,2020-06-29 10:00:00 +0200,HKCategoryValueSleepAnalysisInBed
95997,2020-06-30 05:20:09 +0200,2020-06-30 09:04:30 +0200,HKCategoryValueSleepAnalysisInBed
95998,2020-06-30 09:06:00 +0200,2020-06-30 11:47:19 +0200,HKCategoryValueSleepAnalysisInBed
95999,2020-06-30 11:47:21 +0200,2020-06-30 11:47:39 +0200,HKCategoryValueSleepAnalysisInBed
96000,2020-06-30 11:54:43 +0200,2020-06-30 11:54:46 +0200,HKCategoryValueSleepAnalysisInBed
96001,2020-06-30 11:57:28 +0200,2020-06-30 12:08:48 +0200,HKCategoryValueSleepAnalysisInBed
96002,2020-07-01 01:21:09 +0200,2020-07-01 02:39:32 +0200,HKCategoryValueSleepAnalysisInBed
96003,2020-07-01 02:39:41 +0200,2020-07-01 02:46:57 +0200,HKCategoryValueSleepAnalysisInBed
96004,2020-07-01 02:47:15 +0200,2020-07-01 03:03:06 +0200,HKCategoryValueSleepAnalysisInBed
96005,2020-07-01 03:05:40 +0200,2020-07-01 03:06:15 +0200,HKCategoryValueSleepAnalysisInBed
96006,2020-07-01 03:07:02 +0200,2020-07-01 03:07:27 +0200,HKCategoryValueSleepAnalysisInBed
96007,2020-07-01 03:13:32 +0200,2020-07-01 03:15:43 +0200,HKCategoryValueSleepAnalysisInBed
96008,2020-07-01 03:17:21 +0200,2020-07-01 03:17:35 +0200,HKCategoryValueSleepAnalysisInBed
96009,2020-07-01 03:32:05 +0200,2020-07-01 03:56:15 +0200,HKCategoryValueSleepAnalysisInBed
96010,2020-07-01 03:56:23 +0200,2020-07-01 04:24:43 +0200,HKCategoryValueSleepAnalysisInBed
96011,2020-07-01 04:25:46 +0200,2020-07-01 04:43:57 +0200,HKCategoryValueSleepAnalysisInBed
96012,2020-07-01 04:44:00 +0200,2020-07-01 04:49:57 +0200,HKCategoryValueSleepAnalysisInBed
96013,2020-07-01 05:01:08 +0200,2020-07-01 05:01:09 +0200,HKCategoryValueSleepAnalysisInBed
96014,2020-07-01 05:01:20 +0200,2020-07-01 09:39:53 +0200,HKCategoryValueSleepAnalysisInBed
96015,2020-07-01 09:40:10 +0200,2020-07-01 11:03:05 +0200,HKCategoryValueSleepAnalysisInBed
96016,2020-07-02 02:34:36 +0200,2020-07-02 08:56:14 +0200,HKCategoryValueSleepAnalysisInBed
96017,2020-07-06 02:33:31 +0200,2020-07-06 10:00:21 +0200,HKCategoryValueSleepAnalysisInBed
96018,2020-07-08 10:06:04 +0200,2020-07-08 10:13:15 +0200,HKCategoryValueSleepAnalysisInBed
96019,2020-07-09 01:15:00 +0200,2020-07-09 09:00:00 +0200,HKCategoryValueSleepAnalysisInBed
96020,2020-07-10 02:20:11 +0200,2020-07-10 04:57:14 +0200,HKCategoryValueSleepAnalysisInBed
96021,2020-07-10 04:57:43 +0200,2020-07-10 04:57:59 +0200,HKCategoryValueSleepAnalysisInBed
96022,2020-07-10 04:58:01 +0200,2020-07-10 05:40:44 +0200,HKCategoryValueSleepAnalysisInBed
96023,2020-07-10 05:40:59 +0200,2020-07-10 09:00:00 +0200,HKCategoryValueSleepAnalysisInBed
96024,2020-07-11 04:40:10 +0200,2020-07-11 08:01:27 +0200,HKCategoryValueSleepAnalysisInBed
96025,2020-07-14 09:00:02 +0200,2020-07-14 10:00:02 +0200,HKCategoryValueSleepAnalysisInBed
96026,2020-07-20 05:15:00 +0200,2020-07-20 09:53:26 +0200,HKCategoryValueSleepAnalysisInBed
96027,2020-07-21 02:30:09 +0200,2020-07-21 05:57:33 +0200,HKCategoryValueSleepAnalysisInBed
96028,2020-07-21 05:57:39 +0200,2020-07-21 10:11:57 +0200,HKCategoryValueSleepAnalysisInBed
