Time,x,y,z,abs
4.969362208E0,-2.471846104E0,1.785429239E0,1.013784766E0,3.213337872E0
4.979337208E0,-2.585112095E0,1.924083710E0,1.049313545E0,3.389094508E0
4.989311208E0,-2.681375504E0,2.232365608E0,1.063236475E0,3.647424105E0
4.999286208E0,-2.802006245E0,2.416316509E0,9.964865446E-1,3.831815484E0
5.009261208E0,-2.896588564E0,2.463609219E0,1.018199325E0,3.936537254E0
5.019236208E0,-2.981740952E0,2.527865171E0,1.043853641E0,4.046048918E0
5.029210208E0,-2.983446836E0,2.493175268E0,1.017227650E0,4.018909060E0
5.039185208E0,-2.912247896E0,2.275610447E0,9.660349488E-1,3.820054219E0
5.049160208E0,-2.864019156E0,2.091976166E0,9.503207207E-1,3.671795130E0
5.059135208E0,-2.799578905E0,1.906973004E0,9.871804118E-1,3.528273409E0
5.069110208E0,-2.623090506E0,1.772204161E0,1.114027262E0,3.355945191E0
5.079084208E0,-2.396339655E0,1.628352880E0,1.206015706E0,3.138224136E0
5.089059208E0,-2.166454315E0,1.439549685E0,1.225224018E0,2.875239379E0
5.099034208E0,-2.004143953E0,1.299272180E0,1.204085112E0,2.674793850E0
