"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.368750000E4,1.028162723E-2
1.371093750E4,4.687793712E-3
1.373437500E4,3.842952397E-3
1.375781250E4,5.184655022E-3
1.378125000E4,6.248305492E-4
1.380468750E4,2.927805193E-3
1.382812500E4,3.481002224E-3
1.385156250E4,7.183242997E-3
1.387500000E4,1.840388872E-3
1.389843750E4,2.591739840E-3
1.392187500E4,6.453866662E-3
1.394531250E4,1.011068308E-2
1.396875000E4,6.077832385E-3
1.399218750E4,2.380872902E-3
1.401562500E4,2.764466716E-3
1.403906250E4,7.362403079E-4
1.406250000E4,4.668617821E-3
1.408593750E4,4.853946259E-3
1.410937500E4,6.590585294E-3
1.413281250E4,5.373028970E-3
1.415625000E4,5.240643013E-3
1.417968750E4,2.905619951E-3
1.420312500E4,2.774754284E-3
1.422656250E4,3.142207385E-3
1.425000000E4,2.735846011E-3
1.427343750E4,4.801174212E-3
1.429687500E4,3.733954717E-3
1.432031250E4,6.559546257E-3
1.434375000E4,3.625663690E-3
1.436718750E4,2.753369624E-3
1.439062500E4,8.941657848E-3
1.441406250E4,4.315134664E-3
1.443750000E4,6.702695639E-3
1.446093750E4,2.710576572E-3
1.448437500E4,7.310388480E-3
1.450781250E4,3.753392683E-3
1.453125000E4,8.325160020E-3
1.455468750E4,2.230389459E-3
1.457812500E4,6.784783992E-3
1.460156250E4,2.573922040E-3
1.462500000E4,1.550666951E-3
1.464843750E4,3.033820352E-3
1.467187500E4,3.570553351E-3
1.469531250E4,6.286975856E-3
1.471875000E4,6.330674071E-3
1.474218750E4,3.444400839E-3
1.476562500E4,2.569150968E-3
1.478906250E4,2.405804430E-3
1.481250000E4,3.358753647E-3
1.483593750E4,2.792820223E-3
1.485937500E4,3.137159635E-3
1.488281250E4,2.450670196E-3
1.490625000E4,7.592611897E-3
1.492968750E4,6.632716988E-3
1.495312500E4,1.677642467E-3
1.497656250E4,4.685406305E-3
1.500000000E4,2.409689142E-3
1.502343750E4,3.630387115E-3
1.504687500E4,4.323309908E-3
1.507031250E4,5.310804713E-3
1.509375000E4,3.492596878E-3
1.511718750E4,6.713789768E-3
1.514062500E4,5.103410453E-3
1.516406250E4,4.780550406E-3
1.518750000E4,3.975435286E-3
1.521093750E4,8.108458130E-3
1.523437500E4,2.892139189E-3
1.525781250E4,3.310284462E-3
1.528125000E4,3.803688537E-3
1.530468750E4,3.791312365E-3
1.532812500E4,3.378374358E-3
1.535156250E4,2.364298843E-3
1.537500000E4,6.703460293E-3
1.539843750E4,6.469756777E-3
1.542187500E4,3.747791105E-3
1.544531250E4,5.535629676E-3
1.546875000E4,2.140921191E-3
1.549218750E4,3.048926258E-3
1.551562500E4,6.533565493E-3
1.553906250E4,5.310194514E-3
1.556250000E4,4.322665676E-3
1.558593750E4,4.881881212E-3
1.560937500E4,5.478022590E-3
1.563281250E4,4.636857210E-3
1.565625000E4,1.763265087E-3
1.567968750E4,1.613264923E-3
1.570312500E4,8.589961537E-3
1.572656250E4,3.415733704E-3
1.575000000E4,8.616841335E-4
1.577343750E4,1.929963471E-3
1.579687500E4,3.921999372E-3
1.582031250E4,6.291955294E-3
1.584375000E4,3.692912730E-3
1.586718750E4,3.878382983E-3
1.589062500E4,3.143748521E-3
1.591406250E4,3.454045699E-3
1.593750000E4,1.690180153E-3
1.596093750E4,1.496221909E-3
1.598437500E4,1.044820510E-3
1.600781250E4,1.456044580E-3
1.603125000E4,3.744860437E-3
1.605468750E4,2.501946467E-3
1.607812500E4,1.988470377E-3
1.610156250E4,2.127086093E-3
1.612500000E4,4.260427835E-3
1.614843750E4,4.202811482E-3
1.617187500E4,5.327783070E-3
1.619531250E4,2.246855892E-3
1.621875000E4,9.369411139E-4
1.624218750E4,2.997990904E-3
1.626562500E4,3.989706061E-3
1.628906250E4,3.959573089E-3
1.631250000E4,8.385632111E-4
1.633593750E4,4.114080691E-3
1.635937500E4,1.822579048E-3
1.638281250E4,4.628336356E-3
1.640625000E4,5.779427241E-3
1.642968750E4,1.424946594E-3
1.645312500E4,1.572182148E-3
1.647656250E4,2.858829214E-3
1.650000000E4,5.559881453E-4
1.652343750E4,3.856911984E-3
1.654687500E4,9.707274502E-4
1.657031250E4,2.665745836E-3
1.659375000E4,3.660315625E-3
1.661718750E4,1.207914722E-3
1.664062500E4,2.199234407E-3
1.666406250E4,4.326960208E-3
1.668750000E4,1.594799536E-3
1.671093750E4,8.095373291E-4
1.673437500E4,3.824990363E-3
1.675781250E4,5.220040776E-3
1.678125000E4,7.263970412E-4
1.680468750E4,1.998334266E-3
1.682812500E4,3.498601608E-3
1.685156250E4,1.924985575E-3
1.687500000E4,1.696846471E-3
1.689843750E4,1.008599460E-3
1.692187500E4,3.109722984E-3
1.694531250E4,7.973484086E-3
1.696875000E4,3.371202577E-3
1.699218750E4,3.752927723E-3
1.701562500E4,4.412760458E-3
1.703906250E4,9.816337651E-4
1.706250000E4,2.635199463E-3
1.708593750E4,3.547624888E-3
1.710937500E4,1.136220624E-3
1.713281250E4,2.566701766E-3
1.715625000E4,1.675864647E-3
1.717968750E4,1.821434037E-3
1.720312500E4,4.643445263E-4
1.722656250E4,3.646115227E-3
1.725000000E4,3.697703980E-3
1.727343750E4,8.726615122E-3
1.729687500E4,3.894529929E-3
1.732031250E4,1.577212561E-3
1.734375000E4,2.594791743E-3
1.736718750E4,1.547378147E-3
1.739062500E4,3.161675547E-3
1.741406250E4,3.618088707E-3
1.743750000E4,1.183359633E-3
1.746093750E4,3.290312115E-3
1.748437500E4,3.662189070E-3
1.750781250E4,1.722182102E-3
1.753125000E4,2.900701970E-3
1.755468750E4,3.507601543E-3
1.757812500E4,1.633912326E-3
1.760156250E4,1.706283274E-3
1.762500000E4,1.301556615E-3
1.764843750E4,8.548361781E-4
1.767187500E4,1.760930951E-3
1.769531250E4,2.676288886E-3
1.771875000E4,2.655910821E-3
1.774218750E4,1.981913718E-3
1.776562500E4,1.378651604E-3
1.778906250E4,1.791758011E-3
1.781250000E4,1.251678481E-4
1.783593750E4,3.753442983E-4
1.785937500E4,3.801268422E-3
1.788281250E4,1.891856719E-3
1.790625000E4,2.314032602E-4
1.792968750E4,3.821990301E-3
1.795312500E4,2.384340471E-3
1.797656250E4,7.184294639E-5
1.800000000E4,5.482993326E-4
1.802343750E4,2.120306699E-3
1.804687500E4,1.158552144E-3
1.807031250E4,1.720912231E-3
1.809375000E4,1.354774584E-3
1.811718750E4,1.221831302E-3
1.814062500E4,1.757290721E-3
1.816406250E4,2.530794948E-3
1.818750000E4,2.639835292E-3
1.821093750E4,1.794881063E-3
1.823437500E4,3.030200394E-3
1.825781250E4,2.430074264E-3
1.828125000E4,2.558497981E-3
1.830468750E4,1.709104085E-3
1.832812500E4,1.436435635E-3
1.835156250E4,4.751668139E-3
1.837500000E4,9.866165734E-4
1.839843750E4,3.087900242E-3
1.842187500E4,1.106416829E-3
1.844531250E4,9.200552221E-4
1.846875000E4,3.347266503E-3
1.849218750E4,2.541129711E-3
1.851562500E4,2.413935958E-3
1.853906250E4,1.176006087E-3
1.856250000E4,2.076657695E-3
1.858593750E4,2.902937218E-3
1.860937500E4,1.257949447E-3
1.863281250E4,1.182562085E-3
1.865625000E4,1.982778371E-3
1.867968750E4,1.054668679E-3
1.870312500E4,1.917002483E-3
1.872656250E4,2.041103791E-3
1.875000000E4,1.334436427E-3
1.877343750E4,3.849782455E-3
1.879687500E4,1.207487630E-3
1.882031250E4,1.783261999E-3
1.884375000E4,1.333537986E-3
1.886718750E4,9.050041200E-4
1.889062500E4,1.477806524E-3
1.891406250E4,8.856163979E-4
1.893750000E4,5.498565549E-4
1.896093750E4,1.388489772E-3
1.898437500E4,2.682581504E-3
1.900781250E4,1.420293067E-3
1.903125000E4,2.636212538E-3
1.905468750E4,1.580438178E-3
